FlightName,SourceName_From,Destination,Dep_From,Arrivel,TotalStops,Duration,Price
"Emirates, Vistara",Dubai,Mumbai,22:50,06:15,1 stop via Ahmedabad,05 h 55 m,"AED 4,980AED 4,955"
"Etihad Airways, EgyptAir",Abu Dhabi,Mumbai,16:55,02:00,1 stop via Cairo,31 h 35 m,"AED 5,076AED 5,051"
"Etihad Airways, Vistara",Abu Dhabi,Mumbai,21:55,08:15,1 stop via Bengaluru,08 h 50 m,"AED 5,314AED 5,289"
"Etihad Airways, Air India",Abu Dhabi,Mumbai,21:40,05:25,1 stop via Muscat,06 h 15 m,"AED 5,564AED 5,539"
"Etihad Airways, Air India",Abu Dhabi,Mumbai,14:05,09:50,1 stop via Hyderabad,18 h 15 m,"AED 5,701AED 5,676"
"Etihad Airways, Air India",Dubai,Mumbai,09:35,09:50,"2 stop via Abu Dhabi,Hyderabad",22 h 45 m,"AED 5,701AED 5,676"
"Etihad Airways, Air India",Abu Dhabi,Mumbai,21:20,10:10,1 stop via Kochi,11 h 20 m,"AED 6,501AED 6,476"
"Etihad Airways, Air India",Abu Dhabi,Mumbai,14:05,12:35,"2 stop via Hyderabad,New Delhi",21 h,"AED 7,339AED 7,314"
,,,,,,,
,,,,,,,
"Etihad Airways, Air India",Abu Dhabi,Mumbai,14:05,18:10,"3 stop via Hyderabad,New Delhi,Indore",26 h 35 m,"AED 7,339AED 7,314"
,,,,,,,
,,,,,,,
,,,,,,,
"Emirates, Air India",Dubai,Mumbai,02:15,05:25,1 stop via Muscat,25 h 40 m,"AED 8,354AED 8,329"
"Etihad Airways, Lufthansa",Abu Dhabi,Mumbai,02:05,01:00,1 stop via Frankfurt,21 h 25 m,"AED 15,524AED 15,499"
,,,,,,,
,,,,,,,
Lufthansa,Abu Dhabi,Mumbai,02:05,01:00,1 stop via Frankfurt,21 h 25 m,"AED 20,550AED 20,525"
,,,,,,,
,,,,,,,
Lufthansa,Abu Dhabi,Mumbai,02:05,23:10,"2 stop via Frankfurt,Munich",19 h 35 m,"AED 20,606AED 20,581"
,,,,,,,
,,,,,,,
